Texto,Estado de ánimo
"Hoy es un día perfecto, estoy muy contento.",Alegre
"Me siento increíble, lleno de energía.",Alegre
Estoy muy agradecido por todo.,Alegre
Nada puede arruinar este día tan bueno.,Alegre
Me siento inspirado y lleno de vida.,Alegre
"La vida es hermosa, tengo muchas ganas de hacer cosas nuevas.",Alegre
"Hoy me siento positivo, lleno de buenas vibras.",Alegre
"Nada me puede detener, todo marcha perfecto.",Alegre
Estoy muy feliz por lo que he logrado.,Alegre
Es un día soleado y todo se siente bien.,Alegre
Este día no tiene nada especial.,Neutral
"Un día más, como cualquier otro.",Neutral
No tengo muchas emociones hoy.,Neutral
"Es un día normal, sin altibajos.",Neutral
"No sé qué decir, todo está en calma.",Neutral
"Me siento neutral, nada fuera de lo común.",Neutral
"Hoy es un día como cualquier otro, nada emocionante.",Neutral
No pasó nada interesante hoy.,Neutral
"Estoy en piloto automático, nada nuevo.",Neutral
No tengo ni buenas ni malas noticias.,Neutral
Hoy me siento un poco triste y nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
No tengo muchas ganas de hacer nada.,Melancólico
Extraño mucho aquellos días pasados.,Melancólico
Estoy atrapado en un sentimiento de tristeza.,Melancólico
"Es un día gris, me siento apagado.",Melancólico
Siento que todo es monótono y sin sentido.,Melancólico
Hoy no tengo energías para nada.,Melancólico
La tristeza me acompaña desde que me desperté.,Melancólico
Echo de menos tiempos mejores.,Melancólico
Hoy me siento lleno de energía y optimismo.,Alegre
Hoy me siento lleno de energía y optimismo.,Alegre
La vida es increíble y estoy agradecido por ella.,Alegre
"No puedo dejar de sonreír, la vida es hermosa.",Alegre
"Hoy todo me sale bien, nada puede ir mal.",Alegre
Hoy me siento lleno de energía y optimismo.,Alegre
"No puedo dejar de sonreír, la vida es hermosa.",Alegre
La vida es increíble y estoy agradecido por ella.,Alegre
"No puedo dejar de sonreír, la vida es hermosa.",Alegre
"Hoy todo me sale bien, nada puede ir mal.",Alegre
Estoy rodeado de personas maravillosas.,Alegre
Hoy me siento lleno de energía y optimismo.,Alegre
"No puedo dejar de sonreír, la vida es hermosa.",Alegre
"Hoy todo me sale bien, nada puede ir mal.",Alegre
La vida es increíble y estoy agradecido por ella.,Alegre
"No puedo dejar de sonreír, la vida es hermosa.",Alegre
Estoy rodeado de personas maravillosas.,Alegre
La vida es increíble y estoy agradecido por ella.,Alegre
La vida es increíble y estoy agradecido por ella.,Alegre
"Hoy todo me sale bien, nada puede ir mal.",Alegre
La vida es increíble y estoy agradecido por ella.,Alegre
"No puedo dejar de sonreír, la vida es hermosa.",Alegre
"No puedo dejar de sonreír, la vida es hermosa.",Alegre
"No puedo dejar de sonreír, la vida es hermosa.",Alegre
La vida es increíble y estoy agradecido por ella.,Alegre
Hoy me siento lleno de energía y optimismo.,Alegre
